Total infected people dependent on initially vaccinated people (0-99%). People do not vaccinate themselves during simulation. Average of 22 calculations.
initially vaccinated people (%),total infected people without initially infected
0,9973.954545
1,9876.727273
2,9777.227273
3,9678.363636
4,9575.636364
5,9474.681818
6,9372.090909
7,9264.136364
8,9161.318182
9,9054.727273
10,8949.409091
11,8838.045455
12,8737.090909
13,8622.454545
14,8513.045455
15,8398.863636
16,8299.181818
17,8181.863636
18,8062.5
19,7956.409091
20,7831.090909
21,7710.727273
22,7603.772727
23,7483.5
24,7360.590909
25,7230.727273
26,7131.590909
27,7009
28,6884.181818
29,6759.590909
30,6624
31,6532.545455
32,6381.909091
33,6260.090909
34,6154.409091
35,5994.818182
36,5897.954545
37,5746.454545
38,5613.863636
39,5516.727273
40,5376.590909
41,5236.409091
42,5107.272727
43,5008.681818
44,4862
45,4742.954545
46,4599.454545
47,4489.272727
48,4370.818182
49,4219.590909
50,4083.363636
51,3969.227273
52,3822.909091
53,3726.090909
54,3571.227273
55,3406.909091
56,3311.181818
57,3179.954545
58,3072.636364
59,2905.227273
60,2815.909091
61,2681.590909
62,2547.5
63,2437.545455
64,2288.727273
65,2226.636364
66,2079.227273
67,2022.545455
68,1889.727273
69,1741.090909
70,1639.272727
71,1521.181818
72,1469.772727
73,1312.727273
74,1240.590909
75,1181.090909
76,1063.545455
77,966.5
78,913.5909091
79,850.6363636
80,744.6363636
81,678.3636364
82,621.3636364
83,550.6818182
84,519.5
85,460.6363636
86,417.2727273
87,372.8636364
88,331.9545455
89,277.9545455
90,263.5454545
91,236.0909091
92,206.1363636
93,197.1818182
94,181
95,158.1363636
96,146.1363636
97,135.3181818
98,120.2272727
99,119.2727273
