time;curr_vacc;max_vacc;max_infec;day_max_infec;vacc_min;day_vacc_min;curr_immune
195.84;6813;9000;35;5789;6813;7999;9858
196.63;7582;9284;106;5380;6623;5079;9879
190.32;7524;9244;68;5485;6623;5055;9872
137.75;9018;9020;141;7979;6623;5261;9896
134.49;7868;9000;55;5097;6741;4986;9865
135.28;6922;9000;47;4878;6922;7999;9783
133.19;8842;9171;86;7811;7207;4698;9858
135.63;8673;9000;86;7965;6624;7848;9869
137.32;7283;9000;69;5694;6622;5206;9856
136.91;7490;9177;77;5484;6623;5372;9858
;7801,5;9089,6;77;6156,2;6742,1;5950,3;9859,4
;786,5650005;115,8928624;30,53595331;1244,621031;193,9744829;1391,163067;29,55296563
